DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4221721,0.6042,0.0034,-0.0143,0.7967,-0.0303,-0.0165,-0.1697,0
4221887,0.6038,0.0034,-0.0140,0.7970,-0.0094,-0.0121,0.0691,0
4222054,0.6040,0.0034,-0.0137,0.7969,0.0174,-0.0073,0.0413,0
4222221,0.6042,0.0032,-0.0136,0.7967,0.0199,-0.0076,-0.0526,0
4222387,0.6041,0.0029,-0.0135,0.7968,0.0048,-0.0169,0.0955,0
4222554,0.6042,0.0028,-0.0134,0.7967,-0.0318,-0.0098,0.0017,0
4222721,0.6043,0.0027,-0.0133,0.7966,-0.0341,-0.0074,0.0165,0
4222887,0.6043,0.0026,-0.0132,0.7966,-0.0109,0.0014,0.0475,0
4223054,0.6043,0.0026,-0.0131,0.7966,-0.0096,0.0268,-0.0214,0
4223221,0.6043,0.0026,-0.0130,0.7967,-0.0161,0.0292,0.0232,0
4223387,0.6044,0.0025,-0.0130,0.7966,0.0055,0.0349,0.0033,0
4223554,0.6044,0.0025,-0.0129,0.7966,0.0066,0.0186,0.0029,0
4223721,0.6044,0.0025,-0.0129,0.7966,-0.0026,0.0324,0.0085,0
4223887,0.6044,0.0024,-0.0128,0.7966,-0.0126,0.0280,0.0275,0
4224054,0.6043,0.0024,-0.0128,0.7966,-0.0096,0.0155,0.0392,0
4224221,0.6043,0.0024,-0.0128,0.7966,0.0033,0.0098,-0.0131,0
4224387,0.6043,0.0023,-0.0128,0.7966,0.0134,0.0182,0.0120,0
4224554,0.6043,0.0023,-0.0128,0.7966,-0.0006,0.0360,-0.0091,0
4224721,0.6043,0.0022,-0.0127,0.7967,-0.0001,0.0321,-0.0008,0
4224887,0.6043,0.0022,-0.0127,0.7967,-0.0055,0.0180,0.0312,0
4225054,0.6042,0.0021,-0.0126,0.7967,-0.0226,0.0335,0.0125,0
4225221,0.6043,0.0021,-0.0126,0.7967,-0.0205,0.0185,0.0008,0
4225387,0.6043,0.0020,-0.0126,0.7967,0.0017,0.0266,0.0257,0
4225554,0.6043,0.0020,-0.0126,0.7967,0.0067,0.0336,0.0014,0
4225721,0.6043,0.0019,-0.0126,0.7967,-0.0050,0.0184,0.0260,0
4225887,0.6043,0.0019,-0.0126,0.7966,-0.0082,0.0411,-0.0044,0
4226054,0.6043,0.0019,-0.0125,0.7966,-0.0156,0.0435,0.0082,0
4226221,0.6044,0.0018,-0.0125,0.7966,-0.0152,0.0382,0.0025,0
4226387,0.6044,0.0017,-0.0125,0.7966,-0.0124,0.0302,-0.0017,0
4226554,0.6044,0.0017,-0.0124,0.7966,-0.0006,0.0364,0.0216,0
4226721,0.6044,0.0016,-0.0124,0.7966,0.0067,0.0331,-0.0013,0
4226887,0.6044,0.0015,-0.0124,0.7966,0.0064,0.0400,-0.0014,0
4227054,0.6044,0.0015,-0.0123,0.7966,-0.0165,0.0501,0.0157,0
4227221,0.6044,0.0014,-0.0123,0.7966,-0.0345,0.0531,0.0038,0
4227387,0.6044,0.0014,-0.0122,0.7966,-0.0440,0.0524,0.0134,0
4227554,0.6045,0.0013,-0.0122,0.7965,-0.0326,0.0518,0.0148,0
4227721,0.6045,0.0012,-0.0122,0.7965,-0.0033,0.0387,0.0116,0
4227887,0.6045,0.0012,-0.0121,0.7965,0.0081,0.0550,0.0084,0
4228054,0.6046,0.0011,-0.0121,0.7965,-0.0076,0.0520,0.0025,0
4228221,0.6046,0.0011,-0.0120,0.7965,-0.0225,0.0533,0.0049,0
4228387,0.6046,0.0010,-0.0120,0.7965,-0.0287,0.0472,0.0068,0
4228554,0.6046,0.0009,-0.0120,0.7965,-0.0458,0.0659,-0.0088,0
4228721,0.6046,0.0009,-0.0119,0.7965,-0.0275,0.0748,0.0155,0
4228887,0.6046,0.0008,-0.0119,0.7965,-0.0072,0.0637,-0.0095,0
4229054,0.6046,0.0008,-0.0118,0.7965,0.0005,0.0588,-0.0002,0
4229221,0.6047,0.0007,-0.0118,0.7964,-0.0010,0.0543,0.0263,0
4229387,0.6047,0.0006,-0.0117,0.7964,-0.0263,0.0640,0.0042,0
4229554,0.6047,0.0006,-0.0117,0.7964,-0.0272,0.0573,0.0190,0
4229721,0.6047,0.0005,-0.0117,0.7964,-0.0343,0.0668,0.0271,0
4229887,0.6047,0.0005,-0.0116,0.7964,-0.0349,0.0649,-0.0062,0
4230054,0.6048,0.0004,-0.0116,0.7963,-0.0186,0.0643,-0.0060,0
4230221,0.6048,0.0004,-0.0116,0.7963,-0.0082,0.0719,0.0110,0
4230387,0.6048,0.0003,-0.0115,0.7963,-0.0136,0.0694,0.0245,0
4230554,0.6048,0.0003,-0.0115,0.7963,-0.0341,0.0632,-0.0073,0
4230721,0.6048,0.0002,-0.0114,0.7963,-0.0411,0.0724,-0.0075,0
4230887,0.6049,0.0001,-0.0114,0.7962,-0.0321,0.0824,-0.0257,0
4231054,0.6049,0.0001,-0.0113,0.7962,-0.0173,0.0899,0.1034,0
4231221,0.6049,0.0000,-0.0113,0.7962,-0.0288,0.0865,0.0171,0
4231387,0.6049,-0.0000,-0.0113,0.7962,-0.0218,0.0737,-0.1232,0
4231554,0.6050,-0.0001,-0.0112,0.7962,0.0051,0.0521,0.0936,0
4231721,0.6049,-0.0002,-0.0111,0.7962,-0.0261,0.0761,0.0137,0
4231887,0.6049,-0.0002,-0.0111,0.7962,-0.0382,0.0904,0.0041,0
4232054,0.6050,-0.0003,-0.0110,0.7962,-0.0448,0.0753,0.0484,0
4232221,0.6050,-0.0003,-0.0110,0.7962,-0.0466,0.0678,-0.0286,0
4232387,0.6050,-0.0004,-0.0110,0.7961,-0.0205,0.0670,0.0247,0
4232554,0.6050,-0.0004,-0.0109,0.7961,-0.0379,0.0899,0.0247,0
4232721,0.6050,-0.0005,-0.0109,0.7962,-0.0193,0.0904,-0.0087,0
4232887,0.6050,-0.0005,-0.0109,0.7961,-0.0077,0.0836,0.0138,0
4233054,0.6050,-0.0006,-0.0108,0.7961,-0.0323,0.0863,0.0309,0
4233221,0.6050,-0.0006,-0.0108,0.7961,-0.0469,0.0920,-0.0002,0
4233387,0.6051,-0.0007,-0.0108,0.7961,-0.0452,0.0965,0.0078,0
4233554,0.6051,-0.0007,-0.0108,0.7961,-0.0175,0.0942,0.0033,0
4233721,0.6051,-0.0008,-0.0107,0.7961,-0.0110,0.0910,0.0025,0
4233887,0.6051,-0.0008,-0.0107,0.7960,-0.0256,0.0966,-0.0046,0
