DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.678,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4229822,0.9457,-0.0003,0.0068,-0.3249,0.0029,-0.0161,0.2670,0
4229989,0.9459,-0.0006,0.0066,-0.3244,0.0127,0.0051,0.3000,0
4230156,0.9460,-0.0006,0.0063,-0.3241,-0.0018,0.0053,0.2745,0
4230322,0.9460,-0.0007,0.0061,-0.3240,0.0033,0.0051,0.3071,0
4230489,0.9460,-0.0008,0.0059,-0.3241,0.0092,0.0151,0.2832,0
4230656,0.9460,-0.0008,0.0056,-0.3241,-0.0058,0.0131,0.2963,0
4230822,0.9461,-0.0009,0.0054,-0.3238,0.0033,0.0135,0.3104,0
4230989,0.9462,-0.0009,0.0053,-0.3236,-0.0190,0.0138,0.2973,0
4231156,0.9463,-0.0010,0.0051,-0.3232,-0.0153,0.0194,0.2791,0
4231322,0.9464,-0.0011,0.0050,-0.3230,-0.0219,0.0209,0.2818,0
4231489,0.9465,-0.0012,0.0049,-0.3228,-0.0195,0.0290,0.2807,0
4231656,0.9465,-0.0012,0.0048,-0.3226,-0.0189,0.0299,0.2637,0
4231822,0.9466,-0.0013,0.0046,-0.3223,-0.0432,0.0326,0.2726,0
4231989,0.9467,-0.0014,0.0045,-0.3222,-0.0221,0.0376,0.2973,0
4232156,0.9467,-0.0015,0.0044,-0.3221,-0.0288,0.0310,0.2795,0
4232322,0.9468,-0.0015,0.0043,-0.3219,-0.0227,0.0162,0.2845,0
4232489,0.9468,-0.0016,0.0042,-0.3219,-0.0352,0.0381,0.2783,0
4232656,0.9468,-0.0017,0.0041,-0.3217,-0.0231,0.0395,0.2891,0
4232822,0.9469,-0.0018,0.0039,-0.3215,-0.0246,0.0355,0.2916,0
4232989,0.9469,-0.0019,0.0038,-0.3216,-0.0324,0.0499,0.2905,0
4233156,0.9469,-0.0020,0.0037,-0.3215,-0.0264,0.0513,0.2649,0
4233322,0.9469,-0.0020,0.0036,-0.3214,-0.0366,0.0319,0.2861,0
4233489,0.9470,-0.0021,0.0034,-0.3213,-0.0293,0.0388,0.2836,0
4233656,0.9470,-0.0022,0.0033,-0.3211,-0.0312,0.0527,0.3041,0
4233822,0.9471,-0.0023,0.0031,-0.3210,-0.0477,0.0403,0.3030,0
4233989,0.9471,-0.0024,0.0030,-0.3208,-0.0350,0.0526,0.2957,0
4234156,0.9472,-0.0025,0.0029,-0.3206,-0.0507,0.0578,0.2974,0
4234322,0.9473,-0.0026,0.0028,-0.3204,-0.0482,0.0560,0.2672,0
4234489,0.9473,-0.0027,0.0026,-0.3202,-0.0414,0.0646,0.2804,0
4234656,0.9474,-0.0028,0.0025,-0.3200,-0.0580,0.0686,0.2935,0
4234822,0.9475,-0.0029,0.0024,-0.3199,-0.0520,0.0668,0.2756,0
4234989,0.9475,-0.0029,0.0022,-0.3197,-0.0625,0.0767,0.2977,0
4235156,0.9475,-0.0030,0.0021,-0.3196,-0.0602,0.0713,0.2819,0
4235322,0.9476,-0.0031,0.0020,-0.3194,-0.0584,0.0765,0.2967,0
4235489,0.9477,-0.0032,0.0018,-0.3193,-0.0683,0.0803,0.2746,0
4235656,0.9477,-0.0033,0.0017,-0.3192,-0.0526,0.0907,0.2835,0
4235822,0.9477,-0.0034,0.0016,-0.3190,-0.0786,0.0810,0.2985,0
4235989,0.9479,-0.0034,0.0015,-0.3186,-0.0571,0.0848,0.2817,0
4236156,0.9479,-0.0035,0.0013,-0.3185,-0.0793,0.1027,0.2855,0
4236322,0.9480,-0.0036,0.0012,-0.3183,-0.0655,0.0909,0.2816,0
4236489,0.9480,-0.0037,0.0011,-0.3181,-0.0616,0.0930,0.2907,0
4236656,0.9481,-0.0038,0.0009,-0.3179,-0.0704,0.0961,0.2872,0
4236822,0.9482,-0.0039,0.0008,-0.3178,-0.0807,0.0901,0.2865,0
4236989,0.9482,-0.0039,0.0007,-0.3176,-0.0778,0.0922,0.3002,0
4237156,0.9482,-0.0040,0.0005,-0.3175,-0.0732,0.1096,0.2939,0
4237322,0.9483,-0.0041,0.0004,-0.3174,-0.0872,0.1086,0.2745,0
4237489,0.9483,-0.0042,0.0003,-0.3172,-0.0831,0.1117,0.2753,0
4237656,0.9484,-0.0043,0.0002,-0.3170,-0.0874,0.1110,0.2917,0
4237822,0.9485,-0.0044,0.0000,-0.3169,-0.0825,0.1092,0.2923,0
4237989,0.9485,-0.0044,-0.0001,-0.3167,-0.0925,0.1200,0.2824,0
4238156,0.9486,-0.0045,-0.0003,-0.3165,-0.0830,0.1152,0.3076,0
4238322,0.9486,-0.0046,-0.0004,-0.3164,-0.0908,0.1246,0.2924,0
4238489,0.9487,-0.0047,-0.0005,-0.3162,-0.0952,0.1149,0.2704,0
4238656,0.9487,-0.0048,-0.0006,-0.3161,-0.1010,0.1168,0.2850,0
4238822,0.9488,-0.0049,-0.0008,-0.3159,-0.0920,0.1345,0.2952,0
4238989,0.9488,-0.0049,-0.0009,-0.3158,-0.0957,0.1275,0.2834,0
4239156,0.9489,-0.0050,-0.0010,-0.3156,-0.1008,0.1288,0.2793,0
4239322,0.9489,-0.0051,-0.0011,-0.3155,-0.0961,0.1212,0.2996,0
4239489,0.9490,-0.0052,-0.0013,-0.3154,-0.1007,0.1245,0.2837,0
4239656,0.9490,-0.0053,-0.0014,-0.3153,-0.1100,0.1361,0.3130,0
4239822,0.9490,-0.0053,-0.0015,-0.3151,-0.1030,0.1350,0.2903,0
4239989,0.9491,-0.0054,-0.0017,-0.3150,-0.1034,0.1363,0.2819,0
4240156,0.9491,-0.0055,-0.0018,-0.3148,-0.1045,0.1420,0.2761,0
4240322,0.9492,-0.0056,-0.0019,-0.3147,-0.1282,0.1415,0.2867,0
4240489,0.9492,-0.0057,-0.0020,-0.3145,-0.1244,0.1419,0.2651,0
4240656,0.9493,-0.0057,-0.0022,-0.3144,-0.1192,0.1500,0.2984,0
4240822,0.9493,-0.0058,-0.0023,-0.3142,-0.1263,0.1410,0.2861,0
4240989,0.9494,-0.0059,-0.0024,-0.3141,-0.1278,0.1523,0.2770,0
4241156,0.9494,-0.0060,-0.0025,-0.3139,-0.1231,0.1557,0.2862,0
4241322,0.9495,-0.0060,-0.0026,-0.3138,-0.1268,0.1451,0.2885,0
4241489,0.9495,-0.0061,-0.0027,-0.3136,-0.1177,0.1650,0.2840,0
4241656,0.9496,-0.0062,-0.0029,-0.3135,-0.1380,0.1640,0.2808,0
4241822,0.9496,-0.0063,-0.0030,-0.3133,-0.1305,0.1706,0.2589,0
4241989,0.9497,-0.0063,-0.0031,-0.3132,-0.1326,0.1631,0.2928,0
4242156,0.9497,-0.0064,-0.0032,-0.3130,-0.1380,0.1716,0.2729,0
4242322,0.9498,-0.0065,-0.0033,-0.3129,-0.1278,0.1782,0.2770,0
4242489,0.9498,-0.0066,-0.0035,-0.3127,-0.1435,0.1839,0.2807,0
4242656,0.9499,-0.0066,-0.0036,-0.3126,-0.1365,0.1661,0.2874,0
4242823,0.9499,-0.0067,-0.0037,-0.3124,-0.1473,0.1835,0.2829,0
4242989,0.9500,-0.0068,-0.0038,-0.3123,-0.1568,0.1615,0.2917,0
4243156,0.9500,-0.0069,-0.0039,-0.3121,-0.1454,0.1944,0.2621,0
