DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:13:05.736,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
404235,0.9135,-0.0105,0.0033,0.4068,-0.0139,0.0134,-0.0822,0
404402,0.9134,-0.0103,0.0034,0.4070,-0.0224,0.0048,-0.1036,0
404569,0.9135,-0.0100,0.0036,0.4067,-0.0170,-0.0081,-0.0781,0
404735,0.9136,-0.0099,0.0038,0.4066,0.0129,0.0075,-0.0962,0
404902,0.9137,-0.0098,0.0039,0.4063,0.0176,-0.0042,-0.0998,0
405069,0.9136,-0.0098,0.0039,0.4065,0.0027,0.0019,-0.1107,0
405235,0.9136,-0.0097,0.0039,0.4066,0.0169,-0.0046,-0.0909,0
405402,0.9135,-0.0096,0.0038,0.4068,0.0032,-0.0045,-0.0810,0
405569,0.9135,-0.0096,0.0038,0.4068,0.0096,0.0019,-0.0816,0
405735,0.9134,-0.0095,0.0038,0.4069,0.0110,-0.0153,-0.0834,0
405902,0.9134,-0.0095,0.0038,0.4070,0.0135,-0.0063,-0.0778,0
406069,0.9134,-0.0094,0.0038,0.4070,0.0021,-0.0098,-0.1059,0
406235,0.9134,-0.0094,0.0038,0.4070,0.0083,-0.0088,-0.0974,0
406402,0.9134,-0.0093,0.0038,0.4070,0.0152,-0.0057,-0.0908,0
406569,0.9134,-0.0093,0.0038,0.4070,0.0088,-0.0226,-0.1042,0
406735,0.9133,-0.0093,0.0038,0.4071,0.0105,-0.0160,-0.0789,0
406902,0.9133,-0.0092,0.0038,0.4071,-0.0044,-0.0057,-0.0803,0
407069,0.9133,-0.0092,0.0038,0.4072,0.0143,-0.0076,-0.0935,0
407235,0.9133,-0.0091,0.0039,0.4072,0.0231,-0.0139,-0.1057,0
407402,0.9133,-0.0091,0.0039,0.4073,0.0081,-0.0189,-0.1082,0
407569,0.9132,-0.0090,0.0039,0.4073,0.0230,-0.0200,-0.0810,0
407735,0.9132,-0.0090,0.0039,0.4074,0.0278,-0.0172,-0.0769,0
407902,0.9132,-0.0089,0.0039,0.4074,0.0155,-0.0146,-0.0968,0
408069,0.9132,-0.0089,0.0039,0.4075,0.0145,-0.0241,-0.1099,0
