DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.341,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4114140,0.8586,-0.0153,-0.0101,0.5123,0.0405,0.0060,1.8659,0
4114306,0.8584,-0.0150,-0.0102,0.5127,0.0580,0.0183,1.8779,0
4114473,0.8584,-0.0148,-0.0107,0.5126,0.0594,0.0202,1.8973,0
4114640,0.8584,-0.0145,-0.0112,0.5127,0.0206,0.0116,1.8627,0
4114806,0.8583,-0.0142,-0.0115,0.5128,0.0007,-0.0067,1.9565,0
4114973,0.8583,-0.0139,-0.0115,0.5128,-0.0144,-0.0379,1.8754,0
4115140,0.8583,-0.0136,-0.0113,0.5128,0.0122,-0.0542,1.9168,0
4115306,0.8582,-0.0133,-0.0112,0.5130,0.0167,-0.0442,1.9351,0
4115473,0.8582,-0.0131,-0.0110,0.5130,0.0364,-0.0550,1.8922,0
4115640,0.8582,-0.0128,-0.0108,0.5130,0.0353,-0.0697,1.9371,0
4115806,0.8581,-0.0126,-0.0106,0.5132,0.0380,-0.0610,1.9037,0
4115973,0.8580,-0.0124,-0.0105,0.5134,0.0272,-0.0342,1.8883,0
4116140,0.8579,-0.0122,-0.0103,0.5135,0.0401,-0.0459,1.9075,0
4116306,0.8579,-0.0119,-0.0101,0.5136,0.0506,-0.0548,1.9090,0
4116473,0.8579,-0.0117,-0.0100,0.5136,0.0813,-0.0485,1.9068,0
4116640,0.8579,-0.0114,-0.0098,0.5137,0.0926,-0.0616,1.9084,0
4116806,0.8578,-0.0111,-0.0097,0.5138,0.0525,-0.0721,1.8853,0
4116973,0.8578,-0.0109,-0.0095,0.5138,0.0659,-0.0719,1.8885,0
4117140,0.8578,-0.0107,-0.0094,0.5139,0.0558,-0.0681,1.9077,0
4117306,0.8577,-0.0104,-0.0093,0.5140,0.0798,-0.0601,1.8937,0
4117473,0.8578,-0.0101,-0.0091,0.5138,0.0896,-0.0790,1.8893,0
4117640,0.8578,-0.0099,-0.0090,0.5139,0.1220,-0.0965,1.9041,0
4117806,0.8577,-0.0096,-0.0088,0.5139,0.1389,-0.1044,1.9087,0
4117973,0.8577,-0.0093,-0.0087,0.5141,0.1164,-0.1142,1.9119,0
