DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
158485,0.9689,0.0011,-0.0003,0.2474,0.0067,0.0059,0.2532
158651,0.9688,0.0008,-0.0003,0.2478,-0.0004,0.0043,0.2516
158818,0.9687,0.0006,-0.0002,0.2482,-0.0082,0.0151,0.2189
158985,0.9686,0.0004,-0.0002,0.2485,0.0241,0.0218,0.2246
159151,0.9686,0.0002,-0.0002,0.2485,-0.0011,0.0201,0.2593
159318,0.9687,0.0001,-0.0003,0.2481,0.0020,0.0168,0.2242
159485,0.9688,-0.0001,-0.0003,0.2480,0.0086,0.0192,0.2184
159651,0.9687,-0.0003,-0.0003,0.2481,-0.0110,0.0238,0.2475
159818,0.9687,-0.0006,-0.0002,0.2482,-0.0105,0.0085,0.2472
159985,0.9687,-0.0008,-0.0002,0.2482,0.0004,0.0359,0.2218
160151,0.9687,-0.0010,-0.0001,0.2481,-0.0123,0.0497,0.2245
160318,0.9687,-0.0012,-0.0001,0.2480,0.0108,0.0373,0.2581
160485,0.9688,-0.0014,-0.0000,0.2479,0.0142,0.0485,0.2332
160651,0.9688,-0.0017,-0.0000,0.2478,-0.0124,0.0500,0.2166
160818,0.9688,-0.0019,0.0000,0.2477,0.0053,0.0532,0.2396
160985,0.9689,-0.0021,0.0001,0.2476,-0.0091,0.0614,0.2279
161151,0.9689,-0.0023,0.0001,0.2475,-0.0067,0.0585,0.2445
161318,0.9689,-0.0025,0.0001,0.2474,0.0035,0.0753,0.2383
161485,0.9689,-0.0027,0.0002,0.2474,0.0021,0.0905,0.2533
161651,0.9689,-0.0029,0.0002,0.2474,-0.0005,0.0902,0.2467
161818,0.9689,-0.0032,0.0002,0.2474,-0.0058,0.0896,0.2470
161985,0.9689,-0.0034,0.0003,0.2473,-0.0052,0.0939,0.2300
162151,0.9689,-0.0036,0.0003,0.2472,-0.0005,0.0919,0.2464
162318,0.9690,-0.0038,0.0003,0.2472,0.0033,0.0904,0.2399
162485,0.9690,-0.0040,0.0004,0.2471,-0.0018,0.0934,0.2223
162651,0.9690,-0.0042,0.0004,0.2471,0.0068,0.1067,0.2325
162818,0.9690,-0.0044,0.0004,0.2471,-0.0242,0.1145,0.2592
162985,0.9690,-0.0046,0.0005,0.2470,0.0008,0.1156,0.2613
163151,0.9690,-0.0048,0.0005,0.2469,-0.0031,0.1050,0.2391
163318,0.9690,-0.0050,0.0006,0.2469,-0.0010,0.1170,0.2393
163485,0.9690,-0.0052,0.0006,0.2468,-0.0232,0.1183,0.2512
163651,0.9691,-0.0054,0.0006,0.2468,-0.0052,0.1316,0.2574
163818,0.9690,-0.0056,0.0007,0.2468,-0.0085,0.1414,0.2340
163985,0.9691,-0.0058,0.0007,0.2467,-0.0020,0.1364,0.2448
164151,0.9691,-0.0060,0.0008,0.2467,-0.0091,0.1486,0.2286
164318,0.9691,-0.0062,0.0008,0.2466,-0.0034,0.1499,0.2307
164485,0.9691,-0.0064,0.0009,0.2466,-0.0098,0.1493,0.2407
164651,0.9691,-0.0067,0.0009,0.2465,-0.0119,0.1665,0.2481
164818,0.9691,-0.0069,0.0009,0.2465,-0.0126,0.1679,0.2311
164985,0.9691,-0.0071,0.0009,0.2465,-0.0128,0.1706,0.2280
165151,0.9691,-0.0073,0.0010,0.2464,-0.0089,0.1825,0.2442
165318,0.9692,-0.0075,0.0010,0.2464,-0.0022,0.1822,0.2455
165485,0.9692,-0.0077,0.0011,0.2463,-0.0093,0.1819,0.2580
165651,0.9692,-0.0079,0.0011,0.2462,-0.0219,0.1960,0.2649
165818,0.9692,-0.0081,0.0011,0.2462,-0.0077,0.1931,0.2510
165985,0.9692,-0.0083,0.0012,0.2461,-0.0164,0.1866,0.2666
166151,0.9692,-0.0086,0.0012,0.2460,-0.0177,0.1886,0.2409
166318,0.9692,-0.0088,0.0012,0.2460,-0.0081,0.1969,0.2306
166485,0.9692,-0.0090,0.0013,0.2459,-0.0072,0.2012,0.2472
166651,0.9693,-0.0092,0.0013,0.2459,-0.0126,0.2146,0.2705
166818,0.9693,-0.0094,0.0014,0.2458,-0.0056,0.2311,0.2368
166985,0.9693,-0.0095,0.0014,0.2458,-0.0116,0.2329,0.2224
167151,0.9693,-0.0097,0.0014,0.2458,-0.0151,0.2203,0.2535
167318,0.9693,-0.0100,0.0015,0.2458,-0.0245,0.2439,0.2707
167485,0.9693,-0.0102,0.0015,0.2457,-0.0189,0.2055,0.2472
167651,0.9693,-0.0104,0.0015,0.2456,-0.0019,0.2278,0.2292
167818,0.9693,-0.0106,0.0016,0.2456,-0.0144,0.2421,0.2216
167985,0.9693,-0.0108,0.0016,0.2456,-0.0200,0.2454,0.2429
168151,0.9693,-0.0110,0.0016,0.2455,-0.0124,0.2354,0.2353
168318,0.9694,-0.0112,0.0016,0.2454,-0.0080,0.2370,0.2454
168485,0.9694,-0.0114,0.0017,0.2453,0.0002,0.2487,0.2228
168651,0.9694,-0.0116,0.0017,0.2453,-0.0115,0.2536,0.2369
168818,0.9694,-0.0118,0.0017,0.2453,0.0004,0.2547,0.2369
168985,0.9694,-0.0120,0.0018,0.2452,-0.0110,0.2576,0.2357
169151,0.9694,-0.0121,0.0018,0.2452,-0.0146,0.2686,0.2324
169318,0.9694,-0.0123,0.0018,0.2452,-0.0162,0.2774,0.2287
169485,0.9694,-0.0125,0.0019,0.2451,-0.0182,0.2619,0.2082
169651,0.9694,-0.0127,0.0019,0.2451,-0.0261,0.2893,0.2687
169818,0.9694,-0.0129,0.0019,0.2450,-0.0201,0.3028,0.2377
169985,0.9694,-0.0131,0.0020,0.2450,-0.0125,0.2973,0.2430
170152,0.9694,-0.0133,0.0020,0.2450,-0.0224,0.3019,0.2434
170318,0.9694,-0.0134,0.0020,0.2449,-0.0008,0.2969,0.2094
170485,0.9695,-0.0136,0.0021,0.2449,-0.0154,0.2921,0.2356
170652,0.9695,-0.0138,0.0021,0.2448,-0.0071,0.3136,0.2080
170818,0.9695,-0.0140,0.0021,0.2448,-0.0122,0.3072,0.2347
170985,0.9695,-0.0142,0.0022,0.2447,-0.0219,0.3080,0.2488
171152,0.9695,-0.0144,0.0022,0.2447,-0.0283,0.3172,0.2004
171318,0.9695,-0.0145,0.0022,0.2447,-0.0109,0.3300,0.2407
171485,0.9695,-0.0147,0.0023,0.2446,-0.0147,0.3154,0.2413
171652,0.9695,-0.0148,0.0023,0.2446,-0.0073,0.3206,0.2408
