DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2025-12-02 16:02:11.979,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
6247530,0.1433,-0.0660,0.0457,0.9940,-0.0005,-0.0028,0.1093,-0.0974,-0.3141,12.5531,-0.0130,0.0025,0.2362
6247697,-1.9105,0.9317,-0.6265,0.9940,-0.0008,-0.0026,0.1089,-0.1243,-0.2873,12.5076,0.0012,0.0185,0.2246
6247864,-1.9145,0.9017,-0.5955,0.9941,-0.0009,-0.0025,0.1087,-0.1352,-0.2749,12.4798,-0.0028,0.0185,0.2336
6248030,-1.9735,0.8273,-0.6622,0.9940,-0.0010,-0.0024,0.1089,-0.1442,-0.2632,12.5068,0.0051,0.0258,0.2190
6248197,-1.9249,0.9498,-0.5927,0.9940,-0.0011,-0.0024,0.1089,-0.1522,-0.2543,12.5084,0.0115,0.0003,0.2116
6248364,-2.0264,0.8681,-0.6474,0.9940,-0.0013,-0.0023,0.1091,-0.1753,-0.2476,12.5248,0.0027,0.0194,0.2241
6248530,-1.9458,0.8908,-0.6120,0.9940,-0.0015,-0.0023,0.1090,-0.1968,-0.2388,12.5191,0.0226,0.0287,0.2509
6248697,-1.9049,0.9251,-0.6442,0.9940,-0.0017,-0.0022,0.1091,-0.2174,-0.2329,12.5262,0.0092,0.0315,0.2348
6248864,-1.9061,0.9041,-0.6091,0.9940,-0.0018,-0.0022,0.1091,-0.2377,-0.2262,12.5227,0.0029,0.0414,0.2446
6249030,-1.8718,0.8443,-0.6310,0.9940,-0.0020,-0.0021,0.1090,-0.2564,-0.2190,12.5125,-0.0011,0.0477,0.2334
6249197,-1.9416,0.9571,-0.5668,0.9940,-0.0022,-0.0021,0.1090,-0.2755,-0.2087,12.5103,0.0141,0.0280,0.2494
6249364,-1.9109,0.9698,-0.5742,0.9940,-0.0024,-0.0020,0.1089,-0.2960,-0.1981,12.5072,0.0045,0.0465,0.2393
6249530,-1.9090,0.9237,-0.5660,0.9940,-0.0026,-0.0019,0.1089,-0.3166,-0.1877,12.5034,0.0052,0.0389,0.2450
6249697,-1.8918,0.9843,-0.5925,0.9940,-0.0028,-0.0018,0.1089,-0.3376,-0.1759,12.5051,0.0172,0.0459,0.2452
6249864,-1.9053,0.9151,-0.5769,0.9941,-0.0030,-0.0018,0.1089,-0.3593,-0.1654,12.5002,0.0150,0.0652,0.2121
6250030,-1.9099,0.9230,-0.5669,0.9940,-0.0032,-0.0017,0.1089,-0.3808,-0.1550,12.5061,0.0108,0.0526,0.2314
6250197,-1.9215,0.9191,-0.5690,0.9940,-0.0034,-0.0016,0.1089,-0.4028,-0.1445,12.5061,0.0180,0.0551,0.2556
6250364,-1.9775,0.9413,-0.5546,0.9940,-0.0036,-0.0016,0.1089,-0.4261,-0.1336,12.4994,0.0050,0.0736,0.2398
6250530,-2.0152,0.8619,-0.6241,0.9940,-0.0038,-0.0015,0.1089,-0.4497,-0.1238,12.4991,0.0236,0.0734,0.2173
6250697,-2.0063,0.8951,-0.5824,0.9941,-0.0040,-0.0014,0.1088,-0.4733,-0.1136,12.4927,0.0465,0.0836,0.2351
6250864,-1.9477,0.8800,-0.6122,0.9941,-0.0042,-0.0014,0.1088,-0.4959,-0.1044,12.4945,0.0207,0.0879,0.2330
6251030,-1.9664,0.8307,-0.6172,0.9941,-0.0044,-0.0013,0.1088,-0.5188,-0.0959,12.4886,0.0157,0.0871,0.2532
6251197,-1.9486,0.8677,-0.5217,0.9941,-0.0046,-0.0013,0.1087,-0.5413,-0.0866,12.4832,0.0315,0.0803,0.2111
6251364,-1.9257,0.9305,-0.5880,0.9941,-0.0048,-0.0012,0.1087,-0.5636,-0.0764,12.4839,0.0171,0.1046,0.2288
6251530,-1.8716,0.9956,-0.6890,0.9941,-0.0050,-0.0011,0.1087,-0.5849,-0.0650,12.4818,0.0316,0.1024,0.2336
6251697,-1.8499,0.8778,-0.5846,0.9941,-0.0052,-0.0011,0.1087,-0.6059,-0.0557,12.4822,0.0168,0.1074,0.2389
6251864,-1.9399,0.9022,-0.6257,0.9941,-0.0054,-0.0010,0.1087,-0.6283,-0.0457,12.4790,0.0203,0.1042,0.2198
6252030,-1.9449,0.9065,-0.5782,0.9941,-0.0056,-0.0009,0.1087,-0.6508,-0.0356,12.4783,0.0264,0.1185,0.2306
6252197,-1.9469,0.9730,-0.6435,0.9941,-0.0058,-0.0009,0.1087,-0.6733,-0.0244,12.4799,0.0307,0.1157,0.2426
6252364,-1.9502,0.8616,-0.6326,0.9941,-0.0060,-0.0008,0.1087,-0.6959,-0.0151,12.4764,0.0264,0.1110,0.2310
6252530,-1.9209,0.9609,-0.6232,0.9941,-0.0062,-0.0007,0.1086,-0.7181,-0.0040,12.4689,0.0166,0.1228,0.2268
6252697,-1.8544,0.9029,-0.5888,0.9941,-0.0064,-0.0006,0.1086,-0.7392,0.0062,12.4644,0.0260,0.1266,0.2682
6252864,-1.9511,1.0062,-0.6679,0.9941,-0.0066,-0.0006,0.1085,-0.7619,0.0181,12.4590,0.0273,0.1316,0.2252
6253030,-1.9680,0.8377,-0.6038,0.9941,-0.0068,-0.0005,0.1085,-0.7849,0.0273,12.4567,0.0444,0.1268,0.2358
6253197,-1.9653,0.8591,-0.5689,0.9941,-0.0070,-0.0004,0.1084,-0.8079,0.0368,12.4510,0.0206,0.1535,0.2231
6253364,-1.9208,0.8725,-0.5636,0.9941,-0.0072,-0.0004,0.1084,-0.8301,0.0465,12.4485,0.0399,0.1325,0.2557
6253530,-1.9140,0.9452,-0.5872,0.9941,-0.0074,-0.0003,0.1084,-0.8523,0.0574,12.4476,0.0501,0.1479,0.2223
6253697,-2.0051,0.8201,-0.5357,0.9941,-0.0077,-0.0003,0.1084,-0.8760,0.0662,12.4454,0.0291,0.1543,0.2506
6253864,-1.9721,0.8965,-0.6261,0.9941,-0.0079,-0.0002,0.1084,-0.8991,0.0762,12.4428,0.0301,0.1669,0.2392
6254030,-1.9595,0.8189,-0.5880,0.9941,-0.0081,-0.0001,0.1083,-0.9219,0.0850,12.4322,0.0461,0.1678,0.2121
6254197,-1.9868,0.9853,-0.5892,0.9941,-0.0083,-0.0001,0.1083,-0.9451,0.0965,12.4300,0.0417,0.1725,0.2259
6254364,-2.0304,0.9407,-0.5895,0.9941,-0.0085,0.0000,0.1082,-0.9690,0.1072,12.4275,0.0275,0.1702,0.2143
6254530,-1.9824,0.9151,-0.6638,0.9941,-0.0087,0.0001,0.1082,-0.9921,0.1175,12.4243,0.0302,0.1838,0.2460
6254697,-1.9384,0.8993,-0.6326,0.9941,-0.0089,0.0001,0.1082,-1.0143,0.1275,12.4178,0.0389,0.1760,0.2210
6254864,-1.8964,0.9513,-0.6107,0.9941,-0.0091,0.0002,0.1081,-1.0359,0.1384,12.4109,0.0389,0.1774,0.2444
6255030,-1.9455,0.9144,-0.6094,0.9941,-0.0093,0.0003,0.1081,-1.0582,0.1488,12.4056,0.0510,0.1832,0.2476
6255197,-1.9910,0.9265,-0.5453,0.9941,-0.0095,0.0004,0.1080,-1.0813,0.1592,12.4030,0.0434,0.2036,0.2336
6255364,-1.8475,0.8718,-0.6278,0.9941,-0.0097,0.0004,0.1080,-1.1019,0.1687,12.3987,0.0505,0.1955,0.2116
6255530,-1.9418,0.9062,-0.5697,0.9941,-0.0099,0.0005,0.1079,-1.1240,0.1788,12.3922,0.0401,0.1990,0.2401
6255697,-1.9432,0.8782,-0.6352,0.9941,-0.0101,0.0006,0.1079,-1.1461,0.1884,12.3906,0.0555,0.2162,0.2366
6255864,-1.9247,0.9677,-0.5843,0.9941,-0.0103,0.0006,0.1079,-1.1678,0.1993,12.3845,0.0503,0.2177,0.2410
6256030,-1.8996,0.8787,-0.5937,0.9941,-0.0105,0.0007,0.1079,-1.1890,0.2088,12.3822,0.0371,0.2171,0.2415
6256197,-1.9394,0.9090,-0.6006,0.9941,-0.0107,0.0008,0.1078,-1.2108,0.2188,12.3789,0.0369,0.2310,0.2345
6256364,-1.8768,0.9222,-0.5949,0.9941,-0.0109,0.0008,0.1078,-1.2314,0.2290,12.3758,0.0388,0.2313,0.2404
6256530,-1.9660,0.9122,-0.6234,0.9941,-0.0111,0.0009,0.1078,-1.2534,0.2390,12.3724,0.0555,0.2182,0.2204
6256697,-1.8337,0.8132,-0.4948,0.9941,-0.0113,0.0009,0.1078,-1.2732,0.2473,12.3700,0.0566,0.2353,0.2492
6256864,-1.9050,0.9706,-0.6342,0.9941,-0.0115,0.0010,0.1077,-1.2941,0.2582,12.3646,0.0533,0.2468,0.2282
6257030,-1.9375,0.8331,-0.6097,0.9941,-0.0117,0.0011,0.1077,-1.3154,0.2668,12.3607,0.0591,0.2511,0.2377
6257197,-1.8913,0.9005,-0.6452,0.9941,-0.0118,0.0011,0.1076,-1.3358,0.2763,12.3572,0.0523,0.2446,0.2300
6257364,-1.8941,0.9709,-0.6233,0.9941,-0.0120,0.0012,0.1076,-1.3562,0.2871,12.3521,0.0653,0.2365,0.2371
6257530,-1.9322,0.9464,-0.6525,0.9941,-0.0122,0.0013,0.1076,-1.3772,0.2973,12.3485,0.0567,0.2487,0.2316
6257697,-1.9388,0.9771,-0.5876,0.9941,-0.0124,0.0014,0.1075,-1.3982,0.3080,12.3434,0.0505,0.2560,0.2287
6257864,-1.9256,0.8886,-0.6107,0.9941,-0.0126,0.0014,0.1075,-1.4188,0.3173,12.3414,0.0509,0.2648,0.2388
6258030,-1.9468,0.8736,-0.6099,0.9941,-0.0128,0.0015,0.1075,-1.4398,0.3262,12.3383,0.0477,0.2647,0.2277
6258197,-1.9498,0.9741,-0.6166,0.9941,-0.0130,0.0016,0.1075,-1.4606,0.3368,12.3347,0.0654,0.2641,0.2271
6258364,-2.0276,0.9562,-0.6122,0.9941,-0.0132,0.0016,0.1074,-1.4826,0.3470,12.3312,0.0662,0.2579,0.2297
6258530,-1.9508,0.9544,-0.5990,0.9941,-0.0134,0.0017,0.1074,-1.5033,0.3571,12.3280,0.0709,0.2720,0.2340
6258697,-1.9126,0.8900,-0.5925,0.9941,-0.0136,0.0017,0.1074,-1.5232,0.3661,12.3241,0.0601,0.2736,0.2524
6258864,-1.9785,0.9537,-0.5737,0.9941,-0.0137,0.0018,0.1073,-1.5442,0.3761,12.3198,0.0589,0.2725,0.2526
6259030,-1.8962,0.8596,-0.6676,0.9941,-0.0139,0.0019,0.1073,-1.5636,0.3844,12.3191,0.0567,0.2896,0.2289
6259197,-1.9129,0.8376,-0.5754,0.9941,-0.0141,0.0019,0.1073,-1.5832,0.3924,12.3189,0.0593,0.2955,0.2586
6259364,-1.9460,0.8685,-0.5539,0.9941,-0.0143,0.0020,0.1073,-1.6032,0.4008,12.3167,0.0689,0.2883,0.2511
6259530,-1.9942,0.8651,-0.5778,0.9941,-0.0145,0.0020,0.1073,-1.6238,0.4091,12.3172,0.0792,0.2898,0.2404
6259697,-1.9618,0.8920,-0.5944,0.9941,-0.0147,0.0021,0.1073,-1.6438,0.4177,12.3148,0.0776,0.2935,0.2246
