DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-12-02 15:55:47.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
2403473,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0000,0.1678,0.0834,-0.0015,10.0681,-0.0325,0.0153,-0.0125,-0.0496,1.1831,0.5383,0.9989,-0.0008,-0.0039,-0.0460,-0.0685,-0.4540,-5.2778,0
2403639,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1674,0.0761,0.0040,10.0444,-0.0338,0.0175,-0.0106,-0.0500,1.1816,0.5364,0.9989,-0.0010,-0.0038,-0.0460,-0.0898,-0.4379,-5.2695,0
2403806,1.0000,-0.0003,0.0001,-0.0001,0.0017,0.0003,0.1676,0.1027,0.0168,10.0573,-0.0327,0.0152,-0.0103,-0.0505,1.1802,0.5393,0.9989,-0.0011,-0.0036,-0.0460,-0.1032,-0.4219,-5.2713,0
2403973,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0000,0.1674,0.0835,-0.0051,10.0444,-0.0319,0.0175,-0.0095,-0.0525,1.1836,0.5369,0.9989,-0.0011,-0.0036,-0.0460,-0.1074,-0.4200,-5.2774,0
2404139,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1679,0.0789,0.0049,10.0710,-0.0338,0.0147,-0.0110,-0.0515,1.1797,0.5383,0.9989,-0.0012,-0.0036,-0.0462,-0.1226,-0.4163,-5.2956,0
2404306,1.0000,-0.0003,0.0001,-0.0001,0.0015,-0.0000,0.1677,0.0909,-0.0034,10.0647,-0.0334,0.0165,-0.0107,-0.0510,1.1782,0.5339,0.9989,-0.0014,-0.0035,-0.0463,-0.1389,-0.4073,-5.3060,0
2404473,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1672,0.0827,0.0049,10.0290,-0.0326,0.0166,-0.0109,-0.0491,1.1802,0.5359,0.9989,-0.0015,-0.0034,-0.0464,-0.1574,-0.3991,-5.3127,0
2404639,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1673,0.0790,0.0013,10.0373,-0.0329,0.0163,-0.0097,-0.0518,1.1816,0.5330,0.9989,-0.0017,-0.0033,-0.0463,-0.1760,-0.3901,-5.3091,0
2404806,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0002,0.1675,0.0755,0.0066,10.0520,-0.0335,0.0148,-0.0110,-0.0483,1.1792,0.5339,0.9989,-0.0019,-0.0032,-0.0464,-0.1961,-0.3813,-5.3188,0
2404973,1.0000,-0.0003,0.0001,-0.0001,0.0013,-0.0001,0.1674,0.0765,-0.0108,10.0465,-0.0331,0.0171,-0.0112,-0.0500,1.1792,0.5383,0.9989,-0.0020,-0.0031,-0.0464,-0.2157,-0.3694,-5.3164,0
2405139,1.0000,-0.0003,0.0001,-0.0001,0.0016,-0.0001,0.1676,0.0973,-0.0074,10.0586,-0.0355,0.0173,-0.0115,-0.0479,1.1797,0.5330,0.9989,-0.0022,-0.0030,-0.0464,-0.2392,-0.3568,-5.3199,0
2405306,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0001,0.1676,0.0809,-0.0087,10.0531,-0.0345,0.0156,-0.0115,-0.0552,1.1814,0.5344,0.9989,-0.0024,-0.0029,-0.0464,-0.2624,-0.3471,-5.3180,0
2405473,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0001,0.1676,0.0919,0.0021,10.0560,-0.0339,0.0164,-0.0108,-0.0518,1.1802,0.5339,0.9989,-0.0026,-0.0028,-0.0465,-0.2856,-0.3364,-5.3353,0
2405639,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0001,0.1681,0.0918,0.0045,10.0836,-0.0337,0.0154,-0.0118,-0.0496,1.1787,0.5349,0.9989,-0.0028,-0.0027,-0.0466,-0.3082,-0.3270,-5.3437,0
2405806,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0002,0.1680,0.0754,0.0079,10.0800,-0.0346,0.0168,-0.0090,-0.0530,1.1772,0.5354,0.9989,-0.0030,-0.0026,-0.0466,-0.3314,-0.3166,-5.3431,0
2405973,1.0000,-0.0003,0.0001,-0.0001,0.0017,0.0001,0.1668,0.0996,0.0048,10.0069,-0.0336,0.0143,-0.0116,-0.0503,1.1816,0.5349,0.9989,-0.0032,-0.0025,-0.0467,-0.3534,-0.3080,-5.3534,0
2406139,1.0000,-0.0003,0.0001,-0.0001,0.0015,-0.0002,0.1673,0.0879,-0.0167,10.0379,-0.0334,0.0148,-0.0104,-0.0496,1.1807,0.5383,0.9989,-0.0034,-0.0025,-0.0467,-0.3752,-0.2994,-5.3565,0
2406306,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0001,0.1676,0.0834,-0.0106,10.0554,-0.0340,0.0156,-0.0102,-0.0515,1.1792,0.5374,0.9989,-0.0036,-0.0024,-0.0467,-0.3981,-0.2900,-5.3574,0
2406473,1.0000,-0.0003,0.0001,-0.0001,0.0012,0.0001,0.1677,0.0706,0.0056,10.0629,-0.0334,0.0164,-0.0099,-0.0520,1.1777,0.5349,0.9989,-0.0038,-0.0023,-0.0468,-0.4206,-0.2797,-5.3620,0
2406639,1.0000,-0.0003,0.0001,-0.0001,0.0012,0.0003,0.1678,0.0732,0.0156,10.0677,-0.0330,0.0162,-0.0104,-0.0525,1.1807,0.5349,0.9989,-0.0040,-0.0022,-0.0468,-0.4425,-0.2691,-5.3687,0
2406806,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0001,0.1676,0.0954,0.0012,10.0531,-0.0331,0.0151,-0.0101,-0.0515,1.1782,0.5354,0.9989,-0.0042,-0.0021,-0.0469,-0.4642,-0.2593,-5.3747,0
2406973,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1680,0.0917,0.0091,10.0808,-0.0320,0.0159,-0.0101,-0.0493,1.1802,0.5344,0.9989,-0.0043,-0.0020,-0.0469,-0.4849,-0.2490,-5.3797,0
2407139,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1678,0.0855,0.0048,10.0653,-0.0327,0.0158,-0.0099,-0.0505,1.1758,0.5359,0.9989,-0.0045,-0.0019,-0.0470,-0.5061,-0.2389,-5.3822,0
2407306,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0001,0.1679,0.0818,-0.0091,10.0734,-0.0335,0.0165,-0.0120,-0.0530,1.1787,0.5344,0.9989,-0.0047,-0.0018,-0.0470,-0.5281,-0.2281,-5.3870,0
2407473,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0002,0.1675,0.0746,0.0076,10.0490,-0.0337,0.0154,-0.0117,-0.0515,1.1816,0.5388,0.9989,-0.0049,-0.0017,-0.0471,-0.5504,-0.2183,-5.3949,0
2407639,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1674,0.0748,0.0039,10.0463,-0.0332,0.0154,-0.0097,-0.0496,1.1816,0.5383,0.9989,-0.0051,-0.0016,-0.0471,-0.5722,-0.2083,-5.3973,0
2407806,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0001,0.1675,0.0868,0.0047,10.0530,-0.0332,0.0157,-0.0114,-0.0513,1.1797,0.5339,0.9989,-0.0053,-0.0015,-0.0471,-0.5940,-0.1979,-5.4005,0
2407973,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0001,0.1674,0.0868,0.0057,10.0467,-0.0328,0.0175,-0.0092,-0.0505,1.1792,0.5359,0.9989,-0.0054,-0.0014,-0.0471,-0.6154,-0.1858,-5.4021,0
2408139,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1674,0.0931,0.0077,10.0423,-0.0332,0.0162,-0.0099,-0.0520,1.1792,0.5369,0.9989,-0.0056,-0.0013,-0.0472,-0.6371,-0.1750,-5.4043,0
2408306,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0002,0.1675,0.0876,0.0074,10.0516,-0.0341,0.0156,-0.0104,-0.0486,1.1802,0.5388,0.9989,-0.0058,-0.0012,-0.0472,-0.6597,-0.1649,-5.4090,0
2408473,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0004,0.1676,0.0856,0.0236,10.0566,-0.0334,0.0163,-0.0107,-0.0505,1.1787,0.5359,0.9989,-0.0060,-0.0011,-0.0472,-0.6816,-0.1541,-5.4100,0
2408639,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0002,0.1675,0.0824,0.0063,10.0500,-0.0330,0.0130,-0.0117,-0.0510,1.1777,0.5359,0.9989,-0.0062,-0.0010,-0.0472,-0.7029,-0.1465,-5.4136,0
2408806,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0000,0.1672,0.0839,-0.0007,10.0345,-0.0330,0.0152,-0.0111,-0.0488,1.1797,0.5334,0.9989,-0.0064,-0.0009,-0.0473,-0.7242,-0.1368,-5.4177,0
2408973,1.0000,-0.0003,0.0001,-0.0001,0.0018,-0.0001,0.1674,0.1087,-0.0081,10.0411,-0.0337,0.0153,-0.0106,-0.0486,1.1768,0.5374,0.9989,-0.0066,-0.0008,-0.0473,-0.7463,-0.1270,-5.4190,0
2409139,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0000,0.1677,0.0921,-0.0014,10.0641,-0.0330,0.0161,-0.0109,-0.0503,1.1812,0.5349,0.9989,-0.0067,-0.0007,-0.0473,-0.7678,-0.1166,-5.4202,0
2409306,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1679,0.0765,0.0029,10.0734,-0.0334,0.0153,-0.0106,-0.0530,1.1807,0.5364,0.9989,-0.0069,-0.0006,-0.0473,-0.7898,-0.1069,-5.4231,0
2409473,1.0000,-0.0003,0.0001,-0.0001,0.0012,-0.0000,0.1673,0.0734,-0.0039,10.0386,-0.0343,0.0149,-0.0108,-0.0493,1.1816,0.5349,0.9989,-0.0071,-0.0005,-0.0474,-0.8125,-0.0977,-5.4292,0
2409639,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1675,0.0797,0.0012,10.0518,-0.0335,0.0168,-0.0112,-0.0479,1.1826,0.5359,0.9988,-0.0073,-0.0004,-0.0474,-0.8346,-0.0864,-5.4319,0
2409806,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0003,0.1679,0.0939,0.0146,10.0716,-0.0330,0.0165,-0.0107,-0.0527,1.1821,0.5344,0.9988,-0.0075,-0.0003,-0.0474,-0.8561,-0.0754,-5.4321,0
2409973,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1677,0.0922,0.0102,10.0616,-0.0334,0.0163,-0.0117,-0.0488,1.1807,0.5344,0.9988,-0.0077,-0.0002,-0.0474,-0.8779,-0.0648,-5.4383,0
2410139,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1675,0.0832,0.0039,10.0524,-0.0327,0.0156,-0.0110,-0.0464,1.1787,0.5330,0.9988,-0.0079,-0.0001,-0.0475,-0.8991,-0.0548,-5.4402,0
2410306,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0002,0.1675,0.0826,-0.0143,10.0503,-0.0329,0.0152,-0.0115,-0.0491,1.1797,0.5378,0.9988,-0.0080,-0.0000,-0.0475,-0.9204,-0.0452,-5.4402,0
2410473,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0000,0.1673,0.0855,-0.0012,10.0380,-0.0331,0.0156,-0.0101,-0.0493,1.1826,0.5354,0.9988,-0.0082,0.0001,-0.0475,-0.9420,-0.0352,-5.4412,0
2410639,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1674,0.0819,0.0005,10.0437,-0.0330,0.0149,-0.0098,-0.0530,1.1777,0.5359,0.9988,-0.0084,0.0002,-0.0475,-0.9635,-0.0259,-5.4421,0
2410806,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1677,0.0919,0.0063,10.0634,-0.0344,0.0151,-0.0122,-0.0515,1.1782,0.5344,0.9988,-0.0086,0.0003,-0.0475,-0.9862,-0.0165,-5.4485,0
2410973,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0001,0.1674,0.0842,-0.0089,10.0411,-0.0335,0.0153,-0.0118,-0.0525,1.1802,0.5408,0.9988,-0.0088,0.0004,-0.0476,-1.0081,-0.0069,-5.4533,0
2411139,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1672,0.0942,0.0107,10.0301,-0.0333,0.0171,-0.0118,-0.0471,1.1777,0.5374,0.9988,-0.0090,0.0005,-0.0476,-1.0298,0.0044,-5.4588,0
2411306,1.0000,-0.0003,0.0001,-0.0001,0.0012,0.0001,0.1672,0.0686,0.0050,10.0307,-0.0322,0.0153,-0.0095,-0.0510,1.1782,0.5369,0.9988,-0.0091,0.0006,-0.0476,-1.0503,0.0140,-5.4579,0
2411473,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0002,0.1676,0.0858,0.0108,10.0588,-0.0339,0.0151,-0.0115,-0.0515,1.1787,0.5364,0.9988,-0.0093,0.0006,-0.0476,-1.0725,0.0233,-5.4618,0
2411639,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0002,0.1678,0.0885,0.0076,10.0690,-0.0341,0.0152,-0.0119,-0.0503,1.1792,0.5344,0.9988,-0.0095,0.0007,-0.0477,-1.0947,0.0328,-5.4664,0
2411806,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1676,0.0815,0.0022,10.0562,-0.0344,0.0158,-0.0116,-0.0505,1.1812,0.5427,0.9988,-0.0097,0.0008,-0.0477,-1.1171,0.0427,-5.4698,0
2411973,1.0000,-0.0003,0.0002,-0.0001,0.0013,0.0001,0.1673,0.0753,0.0007,10.0380,-0.0340,0.0182,-0.0105,-0.0535,1.1782,0.5349,0.9988,-0.0099,0.0010,-0.0477,-1.1391,0.0550,-5.4724,0
2412139,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1676,0.0822,0.0011,10.0548,-0.0333,0.0162,-0.0114,-0.0520,1.1738,0.5364,0.9988,-0.0101,0.0011,-0.0478,-1.1604,0.0653,-5.4779,0
