DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 5,StartTime: 2025-12-02 15:59:45.216,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z
4779892,-0.1277,-0.2650,0.3111,0.2328,-0.1088,0.0739,0.9941,-0.0001,-0.0052,0.1080,-0.0791,-0.5868,12.3984
4780059,0.0148,-0.0172,10.0567,-1.8518,0.8777,-0.6306,0.9942,-0.0005,-0.0047,0.1077,-0.1162,-0.5234,12.3613
4780225,-0.0176,-0.0229,10.0451,-1.9881,0.9971,-0.5114,0.9941,-0.0009,-0.0037,0.1080,-0.1506,-0.4072,12.3955
4780392,0.0027,-0.0216,10.0580,-1.9554,0.9236,-0.6060,0.9941,-0.0013,-0.0026,0.1081,-0.1830,-0.2770,12.4080
4780559,0.0659,-0.0249,10.0567,-2.0276,0.8423,-0.6390,0.9941,-0.0017,-0.0018,0.1082,-0.2122,-0.1857,12.4236
4780725,0.1120,-0.0428,10.0339,-1.9162,0.9364,-0.6575,0.9941,-0.0019,-0.0015,0.1086,-0.2381,-0.1455,12.4671
4780892,0.1091,-0.0049,10.0523,-1.9113,0.9408,-0.6719,0.9941,-0.0022,-0.0015,0.1087,-0.2678,-0.1412,12.4858
4781059,0.0996,0.0035,10.0443,-1.9309,0.8702,-0.5755,0.9941,-0.0024,-0.0016,0.1088,-0.2903,-0.1508,12.4927
4781225,0.0723,0.0122,10.0536,-1.8628,0.8512,-0.6405,0.9940,-0.0025,-0.0017,0.1090,-0.3070,-0.1631,12.5162
4781392,0.0532,0.0013,10.0614,-1.9981,0.9142,-0.6220,0.9940,-0.0026,-0.0018,0.1090,-0.3230,-0.1703,12.5202
4781559,0.0314,-0.0197,10.0622,-2.0471,0.9577,-0.6523,0.9940,-0.0028,-0.0018,0.1090,-0.3398,-0.1716,12.5187
4781725,0.0132,-0.0590,10.0636,-1.9455,0.8125,-0.6429,0.9940,-0.0029,-0.0018,0.1090,-0.3570,-0.1702,12.5196
4781892,0.0173,-0.0648,10.0662,-1.9003,0.9323,-0.5953,0.9940,-0.0031,-0.0018,0.1089,-0.3777,-0.1621,12.5037
4782059,0.0491,-0.0435,10.0417,-1.9198,1.0212,-0.6094,0.9941,-0.0033,-0.0017,0.1088,-0.4017,-0.1498,12.4980
4782225,0.0673,0.0058,10.0414,-1.8775,0.9606,-0.6065,0.9940,-0.0036,-0.0016,0.1089,-0.4257,-0.1385,12.4995
4782392,0.0867,0.0203,10.0619,-1.8600,0.8618,-0.6280,0.9941,-0.0038,-0.0015,0.1088,-0.4477,-0.1295,12.4969
4782559,0.1050,0.0249,10.0515,-1.9211,0.9068,-0.5987,0.9941,-0.0040,-0.0015,0.1088,-0.4689,-0.1211,12.4932
4782725,0.0922,0.0126,10.0387,-1.9495,0.8790,-0.5992,0.9941,-0.0041,-0.0015,0.1088,-0.4894,-0.1146,12.4967
4782892,0.0621,-0.0226,10.0767,-1.9554,0.9327,-0.6109,0.9941,-0.0043,-0.0014,0.1088,-0.5094,-0.1077,12.4938
4783059,0.0330,-0.0212,10.0516,-1.9675,0.9629,-0.5685,0.9941,-0.0045,-0.0014,0.1088,-0.5302,-0.0999,12.4907
4783225,0.0124,-0.0324,10.0447,-1.9320,0.9894,-0.5990,0.9941,-0.0047,-0.0013,0.1088,-0.5508,-0.0905,12.4885
4783392,0.0247,-0.0465,10.0607,-1.9005,0.8947,-0.5988,0.9941,-0.0049,-0.0012,0.1087,-0.5716,-0.0815,12.4820
4783559,0.0413,-0.0146,10.0570,-1.9248,0.9775,-0.5576,0.9941,-0.0051,-0.0012,0.1087,-0.5934,-0.0704,12.4770
4783725,0.0573,-0.0080,10.0505,-1.9347,0.8960,-0.6110,0.9941,-0.0053,-0.0011,0.1086,-0.6155,-0.0603,12.4707
4783892,0.0767,-0.0044,10.0492,-1.9554,0.8425,-0.6731,0.9941,-0.0055,-0.0010,0.1085,-0.6378,-0.0512,12.4628
4784059,0.0879,0.0070,10.0605,-1.8382,0.8815,-0.5830,0.9941,-0.0057,-0.0010,0.1085,-0.6580,-0.0418,12.4616
4784225,0.0948,0.0209,10.0543,-1.9885,0.7998,-0.5953,0.9941,-0.0059,-0.0009,0.1084,-0.6805,-0.0341,12.4409
4784392,0.0760,0.0094,10.0509,-2.0213,0.9215,-0.7023,0.9941,-0.0061,-0.0009,0.1083,-0.7032,-0.0247,12.4298
4784559,0.0397,-0.0091,10.0575,-1.9676,0.9326,-0.5660,0.9941,-0.0063,-0.0008,0.1082,-0.7248,-0.0153,12.4260
4784725,0.0298,-0.0358,10.0486,-2.0276,0.9105,-0.6159,0.9941,-0.0065,-0.0008,0.1082,-0.7476,-0.0059,12.4221
4784892,0.0063,-0.0525,10.0583,-1.9786,0.9228,-0.5856,0.9941,-0.0067,-0.0007,0.1081,-0.7698,0.0040,12.4151
4785059,0.0335,-0.0299,10.0641,-1.8700,0.9410,-0.6414,0.9941,-0.0069,-0.0006,0.1081,-0.7907,0.0148,12.4076
4785225,0.0513,-0.0050,10.0643,-1.8895,0.8972,-0.6903,0.9941,-0.0071,-0.0005,0.1080,-0.8120,0.0250,12.4041
4785392,0.0634,0.0100,10.0425,-1.8821,0.8863,-0.6196,0.9941,-0.0073,-0.0005,0.1080,-0.8332,0.0351,12.3981
4785559,0.0987,0.0242,10.0477,-1.9789,0.8863,-0.5990,0.9941,-0.0075,-0.0004,0.1080,-0.8558,0.0451,12.3969
4785725,0.0854,0.0138,10.0413,-1.8993,0.8717,-0.6184,0.9941,-0.0077,-0.0004,0.1079,-0.8769,0.0545,12.3899
