DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-06 17:44:14.840,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
486628,0.8320,-0.0088,-0.0045,-0.5548,0.0209,0.0042,5.1632,0
486794,0.8320,-0.0084,-0.0045,-0.5547,-0.0039,0.0123,5.1631,0
486961,0.8321,-0.0081,-0.0045,-0.5545,0.0048,-0.0113,5.1814,0
487128,0.8324,-0.0079,-0.0045,-0.5542,0.0014,-0.0164,5.1713,0
487294,0.8322,-0.0077,-0.0045,-0.5544,-0.0027,-0.0022,5.1725,0
487461,0.8322,-0.0075,-0.0045,-0.5543,-0.0111,-0.0222,5.1906,0
487628,0.8323,-0.0074,-0.0045,-0.5543,-0.0094,-0.0337,5.1913,0
487794,0.8322,-0.0073,-0.0045,-0.5544,-0.0154,-0.0160,5.1700,0
487961,0.8323,-0.0072,-0.0044,-0.5543,-0.0093,-0.0139,5.1688,0
488128,0.8323,-0.0070,-0.0044,-0.5542,-0.0162,-0.0226,5.1601,0
488294,0.8324,-0.0069,-0.0044,-0.5541,-0.0184,-0.0223,5.1702,0
488461,0.8324,-0.0067,-0.0043,-0.5542,-0.0211,-0.0471,5.1767,0
488628,0.8323,-0.0066,-0.0043,-0.5542,-0.0107,-0.0598,5.1730,0
488794,0.8324,-0.0064,-0.0043,-0.5542,-0.0185,-0.0348,5.1778,0
488961,0.8323,-0.0063,-0.0043,-0.5542,-0.0220,-0.0594,5.1640,0
489128,0.8323,-0.0062,-0.0042,-0.5543,-0.0200,-0.0489,5.1890,0
489294,0.8323,-0.0061,-0.0042,-0.5542,-0.0306,-0.0519,5.1942,0
489461,0.8323,-0.0059,-0.0042,-0.5542,-0.0330,-0.0614,5.1747,0
489628,0.8323,-0.0058,-0.0042,-0.5543,-0.0363,-0.0689,5.1578,0
489794,0.8322,-0.0057,-0.0042,-0.5544,-0.0227,-0.0792,5.1621,0
489961,0.8322,-0.0055,-0.0041,-0.5544,-0.0368,-0.0694,5.1654,0
490128,0.8322,-0.0054,-0.0041,-0.5544,-0.0373,-0.0800,5.1711,0
490294,0.8322,-0.0053,-0.0041,-0.5544,-0.0449,-0.0827,5.1786,0
490461,0.8322,-0.0051,-0.0041,-0.5544,-0.0411,-0.0781,5.1749,0
490628,0.8322,-0.0050,-0.0041,-0.5545,-0.0361,-0.0822,5.1695,0
490794,0.8322,-0.0049,-0.0040,-0.5545,-0.0407,-0.0961,5.1820,0
490961,0.8322,-0.0047,-0.0040,-0.5545,-0.0438,-0.0842,5.1650,0
491128,0.8322,-0.0046,-0.0040,-0.5545,-0.0419,-0.0985,5.1613,0
491294,0.8322,-0.0045,-0.0040,-0.5545,-0.0474,-0.0912,5.1952,0
491461,0.8322,-0.0044,-0.0039,-0.5545,-0.0486,-0.1017,5.1831,0
491628,0.8321,-0.0042,-0.0039,-0.5545,-0.0359,-0.1159,5.1637,0
491795,0.8322,-0.0040,-0.0039,-0.5545,-0.0479,-0.1131,5.1749,0
491961,0.8321,-0.0038,-0.0039,-0.5545,-0.0505,-0.1104,5.1729,0
492128,0.8322,-0.0035,-0.0038,-0.5545,-0.0661,-0.1376,5.1895,0
492295,0.8321,-0.0033,-0.0038,-0.5546,-0.0584,-0.1436,5.1787,0
492461,0.8321,-0.0031,-0.0038,-0.5546,-0.0631,-0.1456,5.1651,0
492628,0.8321,-0.0029,-0.0037,-0.5546,-0.0620,-0.1529,5.1797,0
492795,0.8321,-0.0027,-0.0037,-0.5546,-0.0701,-0.1594,5.1680,0
492961,0.8321,-0.0025,-0.0036,-0.5546,-0.0727,-0.1521,5.1571,0
