DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
128471,0.2145,0.4989,-36.3385,-0.0059,0.0077,0.2297,0
128637,0.1828,0.5222,-36.2748,-0.0023,0.0113,0.2396,0
128804,0.1577,0.5480,-36.2608,0.0065,-0.0033,0.2128,0
128971,0.1284,0.5601,-36.2624,0.0190,0.0241,0.2069,0
129137,0.1133,0.5722,-36.2748,0.0157,-0.0002,0.2401,0
129304,0.0921,0.5812,-36.2920,0.0305,0.0067,0.2419,0
129471,0.0716,0.5867,-36.2956,0.0117,0.0310,0.2283,0
129637,0.0519,0.5979,-36.2987,0.0198,0.0234,0.2205,0
129804,0.0322,0.6082,-36.2993,0.0309,0.0264,0.2092,0
129971,0.0113,0.6200,-36.3091,0.0274,0.0172,0.2224,0
130137,-0.0109,0.6325,-36.3085,0.0438,0.0206,0.2146,0
130304,-0.0339,0.6421,-36.3074,0.0644,0.0141,0.2245,0
130471,-0.0557,0.6495,-36.3139,0.0311,0.0359,0.2294,0
130637,-0.0778,0.6578,-36.3153,0.0570,0.0252,0.2234,0
130804,-0.1006,0.6672,-36.3190,0.0471,0.0338,0.2278,0
130971,-0.1242,0.6757,-36.3216,0.0444,0.0406,0.2265,0
131138,-0.1470,0.6850,-36.3204,0.0698,0.0422,0.2232,0
131304,-0.1690,0.6931,-36.3258,0.0660,0.0353,0.2134,0
131471,-0.1922,0.7020,-36.3253,0.0662,0.0442,0.2288,0
131638,-0.2157,0.7117,-36.3317,0.0812,0.0464,0.2444,0
131804,-0.2383,0.7211,-36.3349,0.0806,0.0315,0.2239,0
131971,-0.2619,0.7298,-36.3400,0.0814,0.0597,0.2294,0
132138,-0.2854,0.7391,-36.3422,0.0729,0.0355,0.2190,0
132304,-0.3089,0.7484,-36.3463,0.0830,0.0440,0.2216,0
132471,-0.3317,0.7567,-36.3503,0.0859,0.0680,0.2414,0
132638,-0.3555,0.7645,-36.3532,0.0960,0.0681,0.2288,0
132804,-0.3794,0.7720,-36.3581,0.1063,0.0494,0.2371,0
132971,-0.4029,0.7793,-36.3613,0.1104,0.0599,0.2121,0
133138,-0.4260,0.7886,-36.3659,0.0983,0.0668,0.2360,0
133304,-0.4491,0.7981,-36.3705,0.1136,0.0687,0.2284,0
133471,-0.4732,0.8077,-36.3742,0.1105,0.0596,0.2349,0
133638,-0.4972,0.8171,-36.3761,0.1133,0.0735,0.2271,0
133804,-0.5208,0.8251,-36.3794,0.1057,0.0751,0.2316,0
133971,-0.5447,0.8349,-36.3818,0.1374,0.0665,0.2512,0
134138,-0.5696,0.8433,-36.3831,0.1277,0.0853,0.2333,0
134304,-0.5934,0.8523,-36.3881,0.1236,0.0753,0.2200,0
134471,-0.6167,0.8621,-36.3910,0.1339,0.0720,0.2263,0
134638,-0.6392,0.8709,-36.3919,0.1378,0.0957,0.2248,0
134804,-0.6630,0.8797,-36.3931,0.1427,0.0950,0.2382,0
134971,-0.6865,0.8879,-36.3952,0.1351,0.0924,0.2384,0
135138,-0.7101,0.8960,-36.3999,0.1548,0.0950,0.2352,0
135304,-0.7343,0.9051,-36.4013,0.1526,0.0929,0.2373,0
135471,-0.7578,0.9138,-36.4037,0.1646,0.0965,0.2431,0
135638,-0.7823,0.9215,-36.4048,0.1577,0.1008,0.2103,0
135804,-0.8054,0.9301,-36.4069,0.1583,0.1000,0.2341,0
135971,-0.8287,0.9390,-36.4105,0.1632,0.0987,0.2169,0
136138,-0.8514,0.9472,-36.4145,0.1874,0.1173,0.2247,0
136304,-0.8752,0.9567,-36.4175,0.1784,0.1030,0.2256,0
136471,-0.8994,0.9662,-36.4213,0.1998,0.0971,0.2169,0
136638,-0.9234,0.9759,-36.4248,0.1967,0.1165,0.2464,0
136804,-0.9459,0.9847,-36.4267,0.1985,0.1204,0.2143,0
