DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Orientation (Quaternion),StartTime: 2025-12-02 14:16:29.728,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
6613545,0.8936,-0.0001,-0.0010,-0.4489
6613712,0.8936,-0.0003,-0.0009,-0.4488
6613879,0.8936,-0.0003,-0.0007,-0.4488
6614045,0.8936,-0.0004,-0.0005,-0.4488
6614212,0.8936,-0.0005,-0.0003,-0.4488
6614379,0.8936,-0.0006,-0.0002,-0.4489
6614545,0.8936,-0.0007,-0.0001,-0.4489
6614712,0.8936,-0.0008,0.0000,-0.4489
6614879,0.8936,-0.0009,0.0002,-0.4489
6615045,0.8936,-0.0010,0.0003,-0.4489
6615212,0.8936,-0.0011,0.0005,-0.4490
6615379,0.8936,-0.0012,0.0007,-0.4490
6615545,0.8935,-0.0013,0.0008,-0.4490
6615712,0.8935,-0.0015,0.0010,-0.4490
6615879,0.8935,-0.0016,0.0011,-0.4490
6616045,0.8935,-0.0017,0.0013,-0.4490
6616212,0.8935,-0.0019,0.0015,-0.4490
6616379,0.8935,-0.0020,0.0017,-0.4490
6616545,0.8935,-0.0021,0.0018,-0.4491
6616712,0.8935,-0.0022,0.0020,-0.4491
6616879,0.8935,-0.0024,0.0022,-0.4491
6617045,0.8935,-0.0025,0.0024,-0.4491
6617212,0.8935,-0.0026,0.0025,-0.4491
6617379,0.8935,-0.0028,0.0027,-0.4491
6617545,0.8935,-0.0029,0.0029,-0.4491
6617712,0.8935,-0.0030,0.0031,-0.4491
6617879,0.8934,-0.0032,0.0032,-0.4491
6618045,0.8934,-0.0033,0.0034,-0.4491
6618212,0.8934,-0.0034,0.0036,-0.4491
6618379,0.8934,-0.0036,0.0037,-0.4492
6618545,0.8934,-0.0037,0.0039,-0.4492
6618712,0.8934,-0.0039,0.0041,-0.4492
6618879,0.8934,-0.0040,0.0042,-0.4492
6619045,0.8934,-0.0041,0.0044,-0.4492
6619212,0.8934,-0.0043,0.0046,-0.4492
6619379,0.8934,-0.0044,0.0048,-0.4492
6619545,0.8934,-0.0045,0.0049,-0.4492
6619712,0.8934,-0.0047,0.0051,-0.4492
6619879,0.8934,-0.0048,0.0053,-0.4492
6620045,0.8934,-0.0049,0.0054,-0.4492
6620212,0.8934,-0.0051,0.0056,-0.4492
6620379,0.8934,-0.0052,0.0058,-0.4492
6620545,0.8934,-0.0053,0.0059,-0.4492
6620712,0.8934,-0.0055,0.0061,-0.4492
6620879,0.8934,-0.0056,0.0063,-0.4492
6621045,0.8934,-0.0057,0.0065,-0.4492
6621212,0.8934,-0.0059,0.0066,-0.4492
6621379,0.8934,-0.0060,0.0068,-0.4492
6621545,0.8934,-0.0062,0.0070,-0.4492
6621712,0.8934,-0.0063,0.0071,-0.4492
6621879,0.8934,-0.0064,0.0073,-0.4492
6622045,0.8934,-0.0066,0.0075,-0.4492
6622212,0.8934,-0.0067,0.0076,-0.4492
6622379,0.8934,-0.0068,0.0078,-0.4492
6622545,0.8934,-0.0070,0.0080,-0.4492
6622712,0.8934,-0.0071,0.0081,-0.4491
6622879,0.8934,-0.0072,0.0083,-0.4491
6623045,0.8934,-0.0074,0.0085,-0.4491
6623212,0.8934,-0.0075,0.0086,-0.4491
6623379,0.8934,-0.0076,0.0088,-0.4491
6623545,0.8934,-0.0078,0.0090,-0.4490
6623712,0.8935,-0.0079,0.0091,-0.4490
6623879,0.8935,-0.0080,0.0092,-0.4490
6624045,0.8935,-0.0081,0.0094,-0.4489
6624212,0.8935,-0.0083,0.0095,-0.4489
6624379,0.8935,-0.0084,0.0097,-0.4489
6624545,0.8935,-0.0085,0.0099,-0.4489
6624712,0.8935,-0.0087,0.0100,-0.4488
6624879,0.8935,-0.0088,0.0102,-0.4488
6625045,0.8936,-0.0089,0.0103,-0.4487
6625212,0.8936,-0.0090,0.0105,-0.4487
6625379,0.8936,-0.0092,0.0106,-0.4486
6625545,0.8936,-0.0093,0.0107,-0.4486
6625712,0.8936,-0.0094,0.0109,-0.4485
6625879,0.8937,-0.0095,0.0111,-0.4485
6626046,0.8937,-0.0096,0.0112,-0.4484
6626212,0.8937,-0.0098,0.0113,-0.4484
6626379,0.8937,-0.0099,0.0115,-0.4483
6626546,0.8938,-0.0100,0.0116,-0.4482
6626712,0.8938,-0.0101,0.0117,-0.4482
6626879,0.8938,-0.0102,0.0119,-0.4481
6627046,0.8939,-0.0103,0.0120,-0.4481
6627212,0.8939,-0.0104,0.0122,-0.4480
6627379,0.8939,-0.0105,0.0123,-0.4479
6627546,0.8940,-0.0107,0.0124,-0.4479
6627712,0.8940,-0.0108,0.0125,-0.4478
6627879,0.8940,-0.0109,0.0127,-0.4477
6628046,0.8940,-0.0110,0.0128,-0.4477
6628212,0.8941,-0.0111,0.0129,-0.4476
6628379,0.8941,-0.0112,0.0131,-0.4475
6628546,0.8941,-0.0113,0.0132,-0.4474
6628712,0.8942,-0.0114,0.0133,-0.4474
6628879,0.8942,-0.0115,0.0134,-0.4473
6629046,0.8943,-0.0116,0.0136,-0.4472
6629212,0.8943,-0.0117,0.0137,-0.4471
6629379,0.8943,-0.0118,0.0138,-0.4470
6629546,0.8944,-0.0119,0.0139,-0.4469
6629712,0.8944,-0.0120,0.0140,-0.4468
6629879,0.8945,-0.0120,0.0141,-0.4468
6630046,0.8945,-0.0121,0.0142,-0.4467
6630212,0.8945,-0.0122,0.0143,-0.4466
6630379,0.8946,-0.0123,0.0144,-0.4465
6630546,0.8946,-0.0124,0.0145,-0.4464
6630712,0.8947,-0.0125,0.0146,-0.4463
6630879,0.8947,-0.0126,0.0147,-0.4462
6631046,0.8948,-0.0127,0.0148,-0.4461
6631212,0.8948,-0.0127,0.0149,-0.4460
6631379,0.8949,-0.0128,0.0150,-0.4459
6631546,0.8949,-0.0129,0.0151,-0.4458
6631712,0.8950,-0.0130,0.0152,-0.4457
6631879,0.8950,-0.0130,0.0152,-0.4455
6632046,0.8951,-0.0131,0.0153,-0.4454
6632212,0.8951,-0.0132,0.0154,-0.4453
6632379,0.8952,-0.0132,0.0155,-0.4452
6632546,0.8952,-0.0133,0.0156,-0.4451
6632712,0.8953,-0.0134,0.0157,-0.4450
6632879,0.8954,-0.0134,0.0157,-0.4448
6633046,0.8954,-0.0135,0.0158,-0.4447
6633212,0.8955,-0.0136,0.0159,-0.4446
6633379,0.8956,0.0003,-0.0016,-0.4448
6633546,0.8956,0.0003,-0.0016,-0.4448
6633712,0.8956,0.0003,-0.0016,-0.4448
6633879,0.8956,0.0003,-0.0016,-0.4448
6634046,0.8956,0.0003,-0.0016,-0.4449
6634212,0.8956,0.0003,-0.0016,-0.4449
6634379,0.8956,0.0003,-0.0016,-0.4449
6634546,0.8956,0.0003,-0.0016,-0.4449
6634712,0.8956,0.0003,-0.0016,-0.4449
6634879,0.8956,0.0003,-0.0016,-0.4449
6635046,0.8956,0.0003,-0.0016,-0.4449
6635212,0.8955,0.0003,-0.0016,-0.4450
6635379,0.8955,0.0003,-0.0016,-0.4450
6635546,0.8955,0.0003,-0.0016,-0.4450
6635712,0.8955,0.0003,-0.0017,-0.4450
6635879,0.8955,0.0003,-0.0016,-0.4450
6636046,0.8955,0.0003,-0.0017,-0.4450
6636212,0.8955,0.0003,-0.0017,-0.4450
6636379,0.8955,0.0003,-0.0017,-0.4450
6636546,0.8955,0.0003,-0.0017,-0.4450
6636712,0.8955,0.0003,-0.0017,-0.4451
6636879,0.8955,0.0003,-0.0017,-0.4451
6637046,0.8955,0.0003,-0.0017,-0.4451
6637212,0.8955,0.0003,-0.0017,-0.4451
6637379,0.8955,0.0003,-0.0017,-0.4451
6637546,0.8955,0.0003,-0.0017,-0.4451
6637712,0.8955,0.0003,-0.0017,-0.4451
6637879,0.8954,0.0003,-0.0017,-0.4452
6638046,0.8954,0.0003,-0.0017,-0.4452
6638212,0.8954,0.0003,-0.0017,-0.4452
6638379,0.8954,0.0003,-0.0017,-0.4452
6638546,0.8954,0.0003,-0.0017,-0.4452
6638712,0.8954,0.0003,-0.0017,-0.4452
6638879,0.8954,0.0003,-0.0017,-0.4452
6639046,0.8954,0.0003,-0.0017,-0.4452
6639212,0.8954,0.0003,-0.0017,-0.4452
6639379,0.8954,0.0003,-0.0017,-0.4453
6639546,0.8954,0.0003,-0.0017,-0.4453
6639712,0.8954,0.0003,-0.0017,-0.4453
6639879,0.8954,0.0003,-0.0017,-0.4453
6640046,0.8954,0.0003,-0.0017,-0.4453
6640212,0.8954,0.0003,-0.0017,-0.4453
6640379,0.8954,0.0003,-0.0017,-0.4453
6640546,0.8954,0.0003,-0.0017,-0.4453
6640712,0.8954,0.0003,-0.0017,-0.4454
6640879,0.8953,0.0003,-0.0017,-0.4454
6641046,0.8953,0.0003,-0.0017,-0.4454
6641212,0.8953,0.0003,-0.0017,-0.4454
6641379,0.8953,0.0003,-0.0017,-0.4454
6641546,0.8953,0.0003,-0.0017,-0.4454
6641712,0.8953,0.0003,-0.0017,-0.4454
6641879,0.8953,0.0003,-0.0017,-0.4454
6642046,0.8953,0.0003,-0.0017,-0.4454
6642212,0.8953,0.0003,-0.0017,-0.4454
6642379,0.8953,0.0003,-0.0017,-0.4454
6642546,0.8953,0.0003,-0.0017,-0.4455
6642713,0.8953,0.0003,-0.0017,-0.4455
6642879,0.8953,0.0003,-0.0017,-0.4455
6643046,0.8953,0.0003,-0.0017,-0.4455
6643213,0.8953,0.0003,-0.0017,-0.4455
6643379,0.8953,0.0003,-0.0017,-0.4455
6643546,0.8953,0.0003,-0.0017,-0.4455
6643713,0.8953,0.0003,-0.0017,-0.4455
6643879,0.8953,0.0003,-0.0017,-0.4455
6644046,0.8953,0.0003,-0.0017,-0.4455
6644213,0.8953,0.0003,-0.0017,-0.4455
6644379,0.8953,0.0003,-0.0017,-0.4455
6644546,0.8952,0.0003,-0.0017,-0.4456
6644713,0.8952,0.0003,-0.0017,-0.4456
6644879,0.8952,0.0003,-0.0017,-0.4456
6645046,0.8952,0.0004,-0.0017,-0.4456
6645213,0.8952,0.0004,-0.0017,-0.4456
6645379,0.8952,0.0003,-0.0017,-0.4456
6645546,0.8952,0.0003,-0.0017,-0.4456
6645713,0.8952,0.0003,-0.0017,-0.4456
6645879,0.8952,0.0003,-0.0017,-0.4456
6646046,0.8952,0.0003,-0.0017,-0.4456
6646213,0.8952,0.0003,-0.0017,-0.4456
6646379,0.8952,0.0003,-0.0017,-0.4457
6646546,0.8952,0.0003,-0.0017,-0.4457
6646713,0.8952,0.0003,-0.0017,-0.4457
6646879,0.8952,0.0003,-0.0017,-0.4457
6647046,0.8952,0.0003,-0.0017,-0.4457
6647213,0.8952,0.0003,-0.0017,-0.4457
6647379,0.8952,0.0003,-0.0017,-0.4457
6647546,0.8952,0.0003,-0.0017,-0.4457
6647713,0.8952,0.0003,-0.0017,-0.4457
6647879,0.8952,0.0003,-0.0017,-0.4457
6648046,0.8952,0.0003,-0.0017,-0.4457
6648213,0.8952,0.0003,-0.0017,-0.4457
6648379,0.8952,0.0003,-0.0017,-0.4457
6648546,0.8952,0.0003,-0.0017,-0.4457
6648713,0.8952,0.0003,-0.0017,-0.4457
6648879,0.8952,0.0004,-0.0017,-0.4457
6649046,0.8952,0.0003,-0.0017,-0.4457
6649213,0.8952,0.0003,-0.0017,-0.4458
6649379,0.8951,0.0003,-0.0017,-0.4458
6649546,0.8951,0.0003,-0.0017,-0.4458
6649713,0.8951,0.0003,-0.0017,-0.4458
6649879,0.8951,0.0003,-0.0017,-0.4458
6650046,0.8951,0.0003,-0.0017,-0.4458
6650213,0.8951,0.0003,-0.0017,-0.4458
6650379,0.8951,0.0003,-0.0017,-0.4458
6650546,0.8951,0.0003,-0.0017,-0.4458
6650713,0.8951,0.0003,-0.0017,-0.4458
6650879,0.8951,0.0004,-0.0017,-0.4458
6651046,0.8951,0.0004,-0.0017,-0.4458
6651213,0.8951,0.0004,-0.0017,-0.4458
6651379,0.8951,0.0003,-0.0017,-0.4458
6651546,0.8951,0.0003,-0.0017,-0.4458
6651713,0.8951,0.0003,-0.0017,-0.4458
6651879,0.8951,0.0003,-0.0017,-0.4458
6652046,0.8951,0.0003,-0.0017,-0.4458
6652213,0.8951,0.0003,-0.0017,-0.4459
6652379,0.8951,0.0003,-0.0017,-0.4459
6652546,0.8951,0.0003,-0.0017,-0.4459
6652713,0.8951,0.0003,-0.0017,-0.4459
6652879,0.8951,0.0003,-0.0017,-0.4459
6653046,0.8951,0.0003,-0.0017,-0.4459
6653213,0.8951,0.0003,-0.0017,-0.4459
6653379,0.8951,0.0003,-0.0016,-0.4459
6653546,0.8951,0.0003,-0.0016,-0.4459
6653713,0.8951,0.0004,-0.0016,-0.4459
6653879,0.8951,0.0004,-0.0016,-0.4459
6654046,0.8951,0.0004,-0.0016,-0.4459
6654213,0.8951,0.0004,-0.0016,-0.4459
6654379,0.8951,0.0004,-0.0016,-0.4459
6654546,0.8951,0.0004,-0.0016,-0.4459
6654713,0.8951,0.0004,-0.0016,-0.4459
6654879,0.8951,0.0004,-0.0016,-0.4459
6655046,0.8951,0.0004,-0.0016,-0.4459
6655213,0.8951,0.0004,-0.0016,-0.4459
6655379,0.8951,0.0004,-0.0016,-0.4459
6655546,0.8951,0.0004,-0.0016,-0.4459
6655713,0.8951,0.0004,-0.0016,-0.4459
6655879,0.8951,0.0004,-0.0016,-0.4460
6656046,0.8951,0.0004,-0.0016,-0.4460
6656213,0.8951,0.0004,-0.0016,-0.4460
6656379,0.8950,0.0004,-0.0016,-0.4460
6656546,0.8950,0.0004,-0.0016,-0.4460
6656713,0.8950,0.0004,-0.0016,-0.4460
6656879,0.8950,0.0004,-0.0016,-0.4460
6657046,0.8950,0.0004,-0.0016,-0.4460
6657213,0.8950,0.0004,-0.0016,-0.4460
6657379,0.8950,0.0004,-0.0016,-0.4460
6657546,0.8950,0.0004,-0.0016,-0.4460
6657713,0.8950,0.0004,-0.0016,-0.4460
6657879,0.8950,0.0004,-0.0016,-0.4460
6658046,0.8950,0.0004,-0.0016,-0.4460
6658213,0.8950,0.0004,-0.0016,-0.4460
6658379,0.8950,0.0004,-0.0016,-0.4460
6658546,0.8950,0.0004,-0.0016,-0.4460
6658713,0.8950,0.0004,-0.0016,-0.4460
6658879,0.8950,0.0004,-0.0016,-0.4460
6659046,0.8950,0.0004,-0.0016,-0.4460
6659213,0.8950,0.0004,-0.0016,-0.4460
6659380,0.8950,0.0004,-0.0016,-0.4460
6659546,0.8950,0.0004,-0.0016,-0.4460
6659713,0.8950,0.0004,-0.0016,-0.4460
6659880,0.8950,0.0004,-0.0016,-0.4460
6660046,0.8950,0.0004,-0.0016,-0.4460
6660213,0.8950,0.0004,-0.0016,-0.4460
6660380,0.8950,0.0004,-0.0016,-0.4460
6660546,0.8950,0.0004,-0.0016,-0.4460
6660713,0.8950,0.0004,-0.0016,-0.4460
6660880,0.8950,0.0004,-0.0016,-0.4460
6661046,0.8950,0.0004,-0.0016,-0.4461
6661213,0.8950,0.0004,-0.0016,-0.4461
6661380,0.8950,0.0004,-0.0016,-0.4461
6661546,0.8950,0.0004,-0.0016,-0.4461
6661713,0.8950,0.0004,-0.0016,-0.4461
6661880,0.8950,0.0004,-0.0016,-0.4461
6662046,0.8950,0.0004,-0.0016,-0.4461
6662213,0.8950,0.0004,-0.0016,-0.4461
6662380,0.8950,0.0004,-0.0016,-0.4461
6662546,0.8950,0.0004,-0.0016,-0.4461
6662713,0.8950,0.0004,-0.0016,-0.4461
6662880,0.8950,0.0004,-0.0016,-0.4461
6663046,0.8950,0.0004,-0.0016,-0.4461
6663213,0.8950,0.0004,-0.0015,-0.4461
6663380,0.8950,0.0004,-0.0015,-0.4461
6663546,0.8950,0.0004,-0.0015,-0.4461
6663713,1.0000,0.0011,-0.0012,0.0000
6663880,1.0000,0.0010,-0.0012,-0.0000
6664046,1.0000,0.0010,-0.0012,-0.0000
6664213,1.0000,0.0011,-0.0012,-0.0000
6664380,1.0000,0.0011,-0.0012,-0.0000
6664546,1.0000,0.0011,-0.0012,-0.0000
6664713,1.0000,0.0011,-0.0012,-0.0000
6664880,1.0000,0.0011,-0.0012,-0.0000
