DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2638437,0.0295,0.0240,10.0587,-1.9462,0.7934,-0.6500,0.5918,0.8948,0.5540
2638604,0.0221,0.0287,10.0387,-1.8641,0.8911,-0.5149,0.5898,0.8899,0.5510
2638771,0.0305,0.0309,10.0665,-1.9407,0.9073,-0.5952,0.5879,0.8894,0.5520
2638937,0.0288,0.0186,10.0491,-1.9093,0.7853,-0.6152,0.5864,0.8909,0.5476
2639104,0.0151,0.0230,10.0461,-1.9244,0.9575,-0.6767,0.5894,0.8933,0.5486
2639271,0.0240,0.0159,10.0497,-1.9362,0.8794,-0.5591,0.5908,0.8918,0.5486
2639437,0.0245,0.0203,10.0433,-1.9599,0.9310,-0.5866,0.5903,0.8914,0.5515
2639604,0.0272,0.0379,10.0355,-1.9436,0.9623,-0.6649,0.5913,0.8938,0.5520
2639771,0.0209,0.0242,10.0533,-1.9085,0.8294,-0.6984,0.5898,0.8909,0.5505
2639937,0.0182,0.0216,10.0373,-1.9018,0.8565,-0.5741,0.5874,0.8938,0.5496
2640104,0.0260,0.0216,10.0584,-1.8997,0.9640,-0.6934,0.5923,0.8875,0.5525
2640271,0.0263,0.0250,10.0660,-1.9560,0.9089,-0.6318,0.5884,0.8899,0.5486
2640437,0.0293,0.0281,10.0498,-1.8953,0.9649,-0.6281,0.5898,0.8914,0.5505
2640604,0.0284,0.0191,10.0743,-1.9649,0.9375,-0.6581,0.5874,0.8884,0.5515
2640771,0.0109,0.0127,10.0437,-1.8868,0.8016,-0.6269,0.5874,0.8884,0.5447
2640937,0.0201,0.0116,10.0372,-1.9101,0.9143,-0.6322,0.5933,0.8904,0.5500
2641104,0.0246,0.0224,10.0521,-1.9315,0.9376,-0.6209,0.5913,0.8889,0.5520
2641271,0.0063,0.0130,10.0287,-1.9366,0.8855,-0.6057,0.5913,0.8928,0.5471
2641437,0.0275,0.0074,10.0417,-1.9598,0.9536,-0.5337,0.5903,0.8894,0.5476
2641604,0.0180,0.0191,10.0429,-1.9199,0.9262,-0.6931,0.5879,0.8918,0.5486
2641771,0.0191,0.0216,10.0473,-1.9457,0.8295,-0.6133,0.5918,0.8909,0.5486
2641937,0.0037,0.0236,10.0445,-1.9634,0.9053,-0.6015,0.5918,0.8909,0.5530
2642104,0.0021,0.0262,10.0308,-1.9191,0.9035,-0.6571,0.5894,0.8909,0.5520
2642271,0.0379,0.0061,10.0687,-1.8816,0.9558,-0.6673,0.5889,0.8914,0.5515
2642437,0.0169,0.0198,10.0630,-1.9527,0.9028,-0.5293,0.5913,0.8918,0.5505
2642604,0.0116,0.0275,10.0523,-1.9403,0.8702,-0.6389,0.5884,0.8884,0.5505
2642771,0.0227,0.0212,10.0418,-1.9184,0.8561,-0.6641,0.5938,0.8909,0.5520
2642937,0.0281,0.0222,10.0541,-1.9650,0.8856,-0.6104,0.5918,0.8909,0.5486
2643104,0.0107,0.0230,10.0431,-1.9977,0.9325,-0.6368,0.5913,0.8923,0.5525
2643271,0.0208,0.0193,10.0502,-1.8973,0.9340,-0.6876,0.5957,0.8884,0.5461
2643437,0.0255,0.0188,10.0709,-1.9274,0.9234,-0.5960,0.5874,0.8904,0.5540
2643604,0.0232,0.0108,10.0537,-1.9926,0.9334,-0.6422,0.5898,0.8948,0.5491
2643771,0.0260,0.0222,10.0412,-1.9418,0.9537,-0.5871,0.5938,0.8909,0.5491
2643937,0.0158,0.0249,10.0485,-1.9560,0.8853,-0.6334,0.5898,0.8899,0.5486
2644104,0.0291,0.0117,10.0723,-1.8991,0.9039,-0.5976,0.5918,0.8928,0.5520
2644271,0.0229,0.0306,10.0634,-1.9685,0.9182,-0.6113,0.5879,0.8914,0.5466
2644437,0.0314,0.0337,10.0333,-1.8999,1.0425,-0.6519,0.5894,0.8889,0.5515
